Temperature,Humidity,HeartRate,SpO2,HeatIndex,Label
44.7,55.94,181.9,96.8,58.05,CRITICAL
22.41,38.35,85.5,98.0,21.83,SAFE
38.64,39.92,160.7,94.7,43.63,DANGER
28.75,57.35,107.6,99.0,32.2,WARNING
32.27,58.63,122.1,96.5,37.58,WARNING
21.21,33.36,99.9,98.5,19.98,SAFE
29.85,23.75,115.0,96.7,29.14,SAFE
28.7,73.06,126.9,97.5,34.15,WARNING
43.46,85.98,163.7,92.4,64.47,CRITICAL
20.1,26.76,84.8,97.0,18.17,SAFE
38.69,82.7,183.4,90.8,53.38,CRITICAL
38.28,88.77,143.9,91.5,53.91,DANGER
32.36,39.36,137.9,98.1,34.64,SAFE
41.33,55.35,138.0,96.7,51.72,DANGER
41.97,88.09,169.7,91.7,61.66,CRITICAL
38.57,43.46,146.6,94.7,44.33,DANGER
24.62,42.7,61.9,97.4,24.97,SAFE
33.54,59.76,151.1,93.1,39.72,DANGER
43.59,73.23,183.2,88.7,61.02,CRITICAL
25.46,72.51,102.6,97.5,29.22,SAFE
33.07,61.97,101.7,96.3,39.37,WARNING
25.47,50.64,77.6,98.2,26.89,SAFE
32.58,36.3,120.1,97.2,34.45,WARNING
37.44,56.01,124.7,95.5,45.27,DANGER
38.66,41.79,124.9,95.7,44.09,WARNING
25.77,52.55,93.6,99.9,27.5,SAFE
31.65,76.14,130.4,98.8,39.33,WARNING
39.89,66.18,160.0,92.2,51.84,CRITICAL
39.14,68.13,137.3,97.7,50.91,DANGER
28.34,64.98,130.6,95.3,32.58,WARNING
23.79,68.65,90.5,99.0,26.45,SAFE
36.88,70.2,160.4,88.6,47.27,CRITICAL
31.41,51.47,120.3,97.1,35.19,WARNING
36.02,43.74,120.7,98.9,40.57,WARNING
30.84,47.11,128.4,96.7,33.74,WARNING
29.96,48.07,114.1,96.1,32.65,WARNING
29.2,69.83,134.9,94.3,34.51,WARNING
36.8,80.52,143.7,96.8,49.23,DANGER
37.57,81.8,157.1,94.3,50.97,DANGER
39.29,60.23,182.0,93.4,49.35,CRITICAL
35.92,45.63,139.1,95.4,40.8,DANGER
37.05,39.36,143.5,95.2,41.18,DANGER
43.01,86.97,183.8,95.3,63.72,CRITICAL
24.23,51.29,114.3,99.4,25.33,SAFE
40.85,58.39,143.7,97.5,51.65,DANGER
36.48,79.99,170.1,96.2,48.51,DANGER
22.83,85.83,97.9,97.1,26.68,SAFE
29.64,35.5,113.0,94.6,30.49,WARNING
40.93,32.78,160.5,91.2,45.28,DANGER
27.12,57.24,101.4,98.0,29.88,SAFE
45.91,80.59,168.3,97.7,68.5,CRITICAL
45.41,58.17,162.0,93.0,60.11,CRITICAL
39.76,82.59,166.1,90.7,55.52,CRITICAL
38.09,70.97,136.9,96.7,49.62,DANGER
43.33,60.09,180.7,95.7,56.68,CRITICAL
34.48,98.0,144.0,93.8,48.09,DANGER
33.86,85.45,160.1,91.2,44.68,CRITICAL
37.09,74.2,150.4,93.9,48.48,DANGER
31.54,36.69,111.7,97.1,33.12,WARNING
33.06,45.75,130.4,97.7,36.65,WARNING
46.13,80.11,169.7,88.0,68.86,CRITICAL
28.75,55.72,132.2,97.2,31.98,WARNING
33.53,47.74,111.2,97.4,37.66,WARNING
38.19,95.42,153.6,93.2,55.18,DANGER
32.69,91.92,143.5,97.8,43.62,DANGER
33.92,53.11,118.4,97.3,39.17,WARNING
23.76,29.1,78.7,97.8,22.58,SAFE
32.41,59.45,117.0,96.1,37.92,WARNING
34.51,71.19,145.2,97.6,43.32,WARNING
27.9,42.58,91.9,98.6,29.16,SAFE
34.5,74.52,154.2,94.1,43.9,DANGER
30.36,64.22,163.3,95.6,35.5,DANGER
39.22,70.83,163.8,97.1,51.69,DANGER
40.99,75.44,165.6,92.3,56.27,CRITICAL
37.62,55.45,161.8,94.5,45.44,DANGER
36.93,67.75,186.0,93.9,46.85,CRITICAL
20.9,38.47,132.0,96.8,20.03,WARNING
34.66,41.64,134.4,97.3,38.21,WARNING
40.59,58.22,134.6,93.1,51.15,DANGER
34.91,86.12,158.9,97.0,46.75,DANGER
38.46,66.55,160.2,93.0,49.32,DANGER
39.52,65.41,150.8,94.3,50.98,CRITICAL
36.98,75.33,183.4,92.1,48.49,CRITICAL
24.13,27.8,122.4,99.0,22.88,SAFE
36.63,70.09,146.8,93.1,46.8,DANGER
40.81,59.04,141.3,94.1,51.75,DANGER
28.95,35.81,115.3,95.7,29.65,WARNING
32.12,30.74,137.2,97.1,32.96,WARNING
30.7,61.8,110.6,95.9,35.68,WARNING
27.63,44.85,111.9,92.6,29.09,WARNING
36.55,35.74,156.5,95.8,39.74,DANGER
46.49,79.31,161.5,90.7,69.45,CRITICAL
30.48,53.49,129.8,95.7,34.16,WARNING
34.93,21.61,128.6,97.1,34.91,WARNING
32.18,67.32,128.0,97.4,38.81,WARNING
19.66,28.17,71.3,98.7,17.79,SAFE
39.34,77.12,145.9,94.2,53.39,DANGER
40.38,61.28,141.3,91.6,51.53,CRITICAL
23.46,57.56,76.1,98.4,24.93,SAFE
18.0,35.97,106.1,97.4,16.44,SAFE
29.97,84.56,129.3,95.1,37.75,WARNING
40.89,91.64,173.7,93.0,60.18,CRITICAL
34.45,54.86,115.9,98.7,40.29,WARNING
27.78,45.55,83.0,97.9,29.37,SAFE
42.43,81.41,166.8,92.4,60.86,CRITICAL
35.08,61.63,155.5,92.1,42.53,DANGER
24.0,27.68,70.9,98.5,22.72,SAFE
42.49,76.78,172.4,90.8,59.71,CRITICAL
27.78,38.64,96.6,98.1,28.52,SAFE
36.1,84.07,137.9,92.5,48.6,DANGER
34.64,48.88,161.9,96.2,39.49,DANGER
36.06,73.16,146.4,92.5,46.39,DANGER
41.42,85.9,170.6,92.4,59.86,CRITICAL
43.24,77.11,189.7,91.3,61.4,DANGER
29.05,55.97,131.2,97.5,32.44,WARNING
25.78,47.46,68.6,98.0,26.96,SAFE
26.6,69.1,122.9,97.3,30.52,WARNING
40.7,64.33,164.6,90.9,52.89,CRITICAL
43.96,60.76,157.8,92.5,58.08,CRITICAL
38.35,59.98,142.6,93.0,47.66,CRITICAL
25.99,41.4,86.0,96.2,26.57,SAFE
27.17,54.72,76.5,97.9,29.65,SAFE
41.67,65.1,182.5,90.6,54.91,CRITICAL
23.24,17.67,96.3,98.5,20.89,SAFE
42.18,81.54,163.5,89.0,60.36,CRITICAL
38.66,90.89,146.1,94.9,55.16,DANGER
41.41,68.98,173.3,93.1,55.43,CRITICAL
37.98,73.21,159.6,93.7,49.9,DANGER
46.17,62.53,179.8,91.7,63.07,CRITICAL
44.98,82.64,156.5,89.9,66.98,CRITICAL
23.22,38.91,95.0,98.6,22.87,SAFE
32.01,54.85,106.0,97.6,36.59,WARNING
40.27,71.81,143.3,95.5,53.92,DANGER
28.7,38.01,96.2,98.4,29.63,SAFE
39.25,77.47,171.1,90.0,53.3,CRITICAL
27.54,45.61,91.8,98.4,29.06,SAFE
33.86,58.34,116.7,95.6,39.98,WARNING
36.51,68.77,144.8,95.3,46.32,DANGER
41.74,73.66,160.6,89.6,57.33,CRITICAL
32.4,60.95,130.0,98.1,38.15,WARNING
27.35,10.0,86.7,97.0,24.55,SAFE
42.02,80.44,165.4,89.4,59.72,DANGER
43.02,86.96,171.0,94.5,63.73,CRITICAL
33.37,64.15,134.5,97.8,40.2,DANGER
43.99,84.82,167.8,92.8,65.34,CRITICAL
27.04,57.14,90.6,95.9,29.75,SAFE
48.0,76.0,162.3,92.0,71.87,CRITICAL
31.67,60.27,137.5,97.7,36.92,WARNING
34.56,33.31,97.0,97.7,36.57,SAFE
35.05,60.09,137.6,96.1,42.19,WARNING
23.11,51.26,80.8,96.7,23.88,SAFE
24.22,60.68,77.9,97.9,26.26,SAFE
39.82,70.88,190.0,92.9,52.85,CRITICAL
46.82,75.76,165.0,89.5,69.0,CRITICAL
37.0,44.61,162.7,96.0,42.21,DANGER
39.22,70.82,133.6,94.0,51.68,DANGER
44.39,83.93,175.6,91.5,66.01,CRITICAL
33.39,33.35,106.2,94.8,35.02,WARNING
36.55,98.0,143.6,96.8,52.27,WARNING
29.81,52.87,122.6,96.7,33.11,WARNING
33.64,56.35,142.1,96.7,39.3,DANGER
28.85,21.57,71.0,98.3,27.66,SAFE
41.04,72.64,162.1,93.1,55.65,CRITICAL
39.67,65.77,160.9,94.4,51.33,DANGER
38.66,79.83,152.4,95.8,52.67,DANGER
29.44,23.17,93.7,97.0,28.57,SAFE
30.63,47.34,94.4,99.7,33.48,SAFE
46.36,79.44,172.6,92.0,69.17,CRITICAL
32.2,71.1,153.4,96.3,39.44,DANGER
36.36,85.22,181.3,96.7,49.33,CRITICAL
34.66,41.43,117.3,96.1,38.18,WARNING
45.9,80.13,160.3,94.0,68.31,CRITICAL
43.01,66.62,171.2,89.5,57.93,CRITICAL
27.64,47.74,77.3,96.9,29.45,SAFE
36.31,45.82,123.0,96.7,41.41,WARNING
25.81,38.38,80.3,99.1,26.0,SAFE
30.74,50.75,154.7,95.6,34.12,WARNING
27.58,21.02,92.9,98.1,26.13,SAFE
34.37,45.55,97.0,98.8,38.5,SAFE
37.61,61.43,146.4,92.3,46.71,DANGER
26.3,59.69,104.2,100.0,29.02,WARNING
37.91,53.05,165.4,93.0,45.41,CRITICAL
34.21,34.51,146.8,93.5,36.31,DANGER
36.94,64.23,146.9,95.2,46.15,DANGER
31.97,29.23,101.7,97.4,32.53,SAFE
37.8,85.79,189.3,97.4,52.29,CRITICAL
31.88,51.43,109.0,96.5,35.87,WARNING
34.11,54.87,134.5,95.2,39.76,WARNING
39.67,86.31,171.3,94.0,56.22,CRITICAL
39.53,45.6,132.5,95.9,46.31,DANGER
30.07,66.09,130.4,96.9,35.33,WARNING
40.09,81.58,165.2,91.9,55.97,CRITICAL
35.7,22.03,141.1,97.8,35.93,WARNING
26.04,36.95,107.4,97.5,26.14,SAFE
27.92,55.27,75.5,98.3,30.76,SAFE
29.36,73.64,127.2,97.6,35.26,WARNING
26.78,34.39,94.2,97.3,26.76,SAFE
24.58,37.61,94.6,98.8,24.4,SAFE
31.13,75.72,123.8,96.6,38.41,WARNING
26.63,56.72,103.8,98.2,29.14,SAFE
33.87,44.76,136.6,95.3,37.64,DANGER
25.12,33.93,100.0,95.5,24.68,SAFE
37.39,26.01,120.1,95.7,38.88,WARNING
22.8,41.21,82.8,99.1,22.56,SAFE
27.28,67.05,144.1,96.6,31.27,WARNING
42.16,88.84,153.5,92.4,62.3,DANGER
29.82,87.56,126.5,97.2,37.91,WARNING
42.5,76.9,177.1,90.2,59.77,CRITICAL
35.7,35.21,153.6,98.3,38.46,DANGER
36.33,32.78,125.7,96.1,38.84,WARNING
41.35,74.08,137.6,94.4,56.63,DANGER
27.92,80.87,94.2,96.5,33.93,SAFE
30.74,39.24,154.3,94.7,32.45,WARNING
41.99,57.0,174.5,88.0,53.34,CRITICAL
24.92,36.84,127.2,99.6,24.74,SAFE
24.48,48.99,97.8,99.4,25.43,SAFE
37.21,49.51,119.7,96.7,43.53,WARNING
20.81,67.85,101.8,99.2,22.3,SAFE
30.96,84.61,154.6,95.1,39.42,DANGER
26.48,79.28,85.4,98.7,31.5,SAFE
36.35,63.95,129.6,93.3,45.08,DANGER
26.39,56.36,84.1,96.5,28.76,SAFE
36.82,72.34,148.3,93.3,47.6,DANGER
31.92,84.28,114.6,94.6,41.04,WARNING
25.05,60.63,96.0,100.0,27.39,SAFE
26.04,44.87,90.3,97.7,27.01,SAFE
35.14,77.48,133.8,94.6,45.58,DANGER
37.67,82.4,147.4,95.9,51.29,DANGER
30.2,62.91,145.7,95.8,35.08,WARNING
32.81,48.78,153.2,93.4,36.8,DANGER
39.29,95.15,172.6,93.3,57.51,CRITICAL
35.82,64.3,131.6,94.3,44.26,DANGER
40.91,66.0,182.4,94.2,53.7,CRITICAL
40.63,76.6,164.8,90.4,55.82,CRITICAL
37.73,82.8,145.9,91.5,51.5,DANGER
25.62,38.99,64.3,98.5,25.84,SAFE
43.96,71.48,190.0,89.5,61.29,CRITICAL
40.61,81.02,160.0,91.1,56.91,CRITICAL
20.67,62.32,124.9,97.3,21.67,SAFE
44.41,71.01,165.4,92.5,62.09,CRITICAL
41.57,77.08,174.8,90.9,57.87,CRITICAL
34.02,64.07,150.2,92.6,41.24,DANGER
33.81,50.24,138.2,93.7,38.5,WARNING
40.86,71.95,142.7,94.5,55.11,DANGER
29.93,49.72,160.8,96.0,32.84,WARNING
39.29,83.86,149.4,92.7,54.86,CRITICAL
39.54,89.14,155.2,93.1,56.62,DANGER
41.22,46.87,172.8,95.8,49.34,CRITICAL
43.96,84.88,181.5,90.8,65.3,CRITICAL
31.19,63.8,153.2,95.2,36.72,DANGER
25.52,65.1,92.9,99.5,28.51,SAFE
38.35,61.51,176.2,91.2,48.0,CRITICAL
27.92,41.32,89.9,97.8,29.04,SAFE
29.48,53.14,126.2,97.3,32.68,WARNING
31.14,50.41,128.3,96.4,34.65,WARNING
40.24,64.83,119.1,97.0,52.16,WARNING
37.58,88.69,169.7,92.3,52.46,CRITICAL
33.3,96.11,161.4,96.0,45.46,DANGER
35.33,60.03,89.5,96.6,42.63,WARNING
36.92,30.76,148.3,95.2,39.24,DANGER
40.92,66.74,175.3,91.8,53.91,CRITICAL
39.6,72.84,136.5,97.4,52.88,DANGER
32.95,61.81,141.3,93.4,39.15,DANGER
26.65,59.19,112.5,98.8,29.45,SAFE
36.79,55.34,108.3,94.6,44.07,WARNING
39.9,69.36,169.8,89.4,52.62,CRITICAL
40.92,88.38,169.9,91.3,59.42,CRITICAL
31.98,37.28,106.7,98.1,33.8,WARNING
31.87,71.35,132.8,97.8,38.95,WARNING
36.52,36.99,141.5,95.8,39.96,DANGER
22.57,35.14,93.4,97.0,21.73,SAFE
22.82,39.12,85.5,99.8,22.4,SAFE
38.16,66.73,139.2,91.7,48.82,DANGER
38.92,78.96,160.3,93.2,52.98,CRITICAL
25.64,40.77,85.9,99.9,26.05,SAFE
26.56,84.51,94.9,97.0,32.22,SAFE
22.37,40.72,79.1,99.8,22.0,SAFE
27.52,58.82,67.9,100.0,30.63,SAFE
43.9,67.41,190.0,92.6,59.95,CRITICAL
33.17,65.6,120.6,96.6,40.12,WARNING
25.68,10.48,77.4,98.1,22.82,SAFE
44.01,84.78,190.0,91.0,65.37,CRITICAL
25.31,29.59,125.4,95.7,24.46,SAFE
23.96,40.38,112.5,98.5,23.91,SAFE
32.39,42.58,111.6,98.1,35.2,SAFE
40.47,79.9,178.5,89.4,56.34,CRITICAL
43.58,73.92,147.3,91.3,61.22,CRITICAL
30.78,58.03,131.8,97.1,35.24,WARNING
34.32,37.76,124.8,96.9,37.05,WARNING
29.04,37.67,105.5,96.0,30.02,WARNING
38.76,96.32,155.3,91.2,56.62,CRITICAL
40.82,83.21,146.8,96.5,57.89,DANGER
31.37,34.05,144.0,95.7,32.51,WARNING
41.08,86.63,168.8,92.5,59.32,CRITICAL
37.13,75.55,160.7,96.1,48.83,DANGER
39.86,85.37,166.2,88.0,56.4,CRITICAL
30.94,61.34,124.1,96.0,35.98,WARNING
29.75,73.24,135.4,94.9,35.82,WARNING
29.73,76.61,110.0,94.8,36.26,WARNING
35.52,64.37,147.6,93.9,43.76,DANGER
21.71,33.06,88.5,97.0,20.54,SAFE
27.1,20.98,78.0,98.4,25.57,SAFE
27.01,59.23,95.6,96.7,29.96,SAFE
32.33,56.55,146.1,93.5,37.34,DANGER
40.64,52.12,138.7,93.7,49.71,CRITICAL
30.23,29.73,110.7,97.8,30.44,WARNING
27.7,44.68,89.0,97.8,29.17,SAFE
33.05,42.27,117.6,97.6,36.06,SAFE
23.53,24.73,101.6,98.1,21.9,SAFE
35.51,67.88,126.9,94.5,44.42,WARNING
22.87,17.02,57.1,96.2,20.44,SAFE
35.94,45.01,132.6,93.5,40.7,DANGER
37.69,67.4,142.1,95.4,48.12,DANGER
40.35,53.95,147.0,88.8,49.68,CRITICAL
26.79,73.22,93.2,97.8,31.26,SAFE
40.3,73.77,165.2,90.7,54.47,CRITICAL
36.15,52.05,135.6,98.1,42.39,WARNING
30.62,23.03,151.7,95.5,29.95,DANGER
35.65,76.19,164.8,95.0,46.25,DANGER
34.52,54.45,136.5,97.7,40.32,WARNING
28.13,51.86,98.0,96.7,30.63,SAFE
28.37,27.01,81.5,100.0,27.8,SAFE
34.66,82.42,130.9,98.5,45.6,WARNING
48.0,76.0,157.5,90.9,71.87,CRITICAL
31.74,61.87,126.9,95.2,37.28,WARNING
48.0,47.05,139.6,96.3,61.25,DANGER
26.01,52.5,62.2,98.5,27.82,SAFE
42.3,54.45,186.7,91.0,53.21,CRITICAL
41.7,84.66,181.1,93.5,60.15,CRITICAL
38.22,55.59,135.4,97.7,46.47,WARNING
41.37,53.82,190.0,93.7,51.39,CRITICAL
36.23,77.79,160.0,94.3,47.61,DANGER
33.29,46.44,126.4,97.2,37.1,WARNING
41.89,53.54,157.3,92.4,52.24,DANGER
24.13,35.26,126.0,97.1,23.62,WARNING
27.91,68.61,123.2,98.1,32.39,WARNING
33.83,67.28,123.3,95.6,41.48,WARNING
34.9,47.14,123.2,96.6,39.57,WARNING
28.91,59.04,130.2,96.5,32.65,WARNING
25.51,54.61,85.5,99.0,27.37,SAFE
26.39,63.15,104.5,99.7,29.54,SAFE
36.99,41.77,117.2,94.7,41.6,WARNING
27.13,52.42,107.2,98.0,29.33,WARNING
41.99,67.77,176.4,92.5,56.24,CRITICAL
33.01,47.08,122.2,96.0,36.8,WARNING
29.71,59.2,126.8,97.0,33.84,WARNING
23.14,52.16,109.1,98.4,24.01,SAFE
26.38,37.76,71.0,97.9,26.65,SAFE
31.46,61.7,138.0,95.9,36.82,DANGER
42.03,47.77,153.6,90.3,50.92,CRITICAL
39.6,66.04,173.7,93.9,51.27,CRITICAL
32.0,54.37,135.3,95.7,36.5,WARNING
36.61,67.72,154.2,90.6,46.29,CRITICAL
28.67,55.67,89.6,97.6,31.87,SAFE
41.95,66.79,171.3,93.1,55.9,CRITICAL
38.16,76.66,148.4,95.6,51.0,DANGER
29.17,42.02,136.9,96.2,30.76,WARNING
33.15,42.86,131.2,96.7,36.3,WARNING
29.67,41.39,101.0,99.2,31.34,SAFE
31.41,54.68,112.7,94.7,35.68,WARNING
40.95,56.62,175.1,94.9,51.39,CRITICAL
27.83,51.19,78.4,97.4,30.14,SAFE
39.96,30.31,155.4,94.3,43.3,DANGER
34.56,56.62,140.4,96.1,40.78,DANGER
40.95,82.82,148.9,94.9,58.06,DANGER
38.5,91.57,142.8,97.1,54.99,DANGER
33.3,49.19,143.8,95.6,37.57,DANGER
28.91,45.01,112.8,97.4,30.81,WARNING
38.87,73.89,153.2,97.3,51.72,DANGER
39.24,14.36,144.6,94.7,38.58,CRITICAL
38.88,80.21,151.1,94.2,53.2,DANGER
36.59,50.03,158.8,92.9,42.69,DANGER
44.67,83.32,169.6,92.0,66.47,CRITICAL
37.4,63.99,147.1,92.7,46.89,DANGER
38.67,74.71,150.8,92.5,51.53,DANGER
32.68,35.48,118.8,93.6,34.45,WARNING
40.78,60.95,178.2,91.6,52.18,CRITICAL
27.07,49.05,95.0,97.7,28.84,SAFE
38.02,97.95,147.3,93.2,55.37,DANGER
30.24,79.91,108.9,98.2,37.55,WARNING
28.87,46.22,86.5,97.0,30.91,SAFE
32.56,61.47,165.1,91.0,38.48,DANGER
36.3,47.38,137.8,97.1,41.7,WARNING
30.16,51.2,74.3,98.6,33.38,SAFE
40.05,79.14,159.9,90.2,55.29,CRITICAL
35.55,64.84,162.6,93.2,43.9,DANGER
41.49,69.2,129.9,93.8,55.63,DANGER
34.16,23.66,114.1,94.5,34.34,WARNING
39.04,74.86,163.8,91.9,52.27,CRITICAL
38.54,82.96,144.4,93.8,53.14,DANGER
36.42,96.42,152.7,96.8,51.69,DANGER
27.94,38.9,124.3,96.9,28.76,WARNING
34.25,48.49,128.4,96.0,38.85,WARNING
45.68,53.33,174.3,91.9,59.07,CRITICAL
42.71,85.64,169.6,94.3,62.66,CRITICAL
39.11,77.62,155.5,94.0,53.05,CRITICAL
29.36,57.21,139.8,94.7,33.05,WARNING
36.71,74.83,123.4,93.3,47.9,DANGER
34.48,74.59,138.0,93.2,43.87,DANGER
34.5,70.79,115.4,97.8,43.24,WARNING
29.57,33.91,101.5,96.7,30.19,SAFE
37.89,62.65,139.8,94.2,47.46,DANGER
39.52,80.75,190.0,90.1,54.61,CRITICAL
35.38,73.43,155.7,96.2,45.25,DANGER
25.55,67.71,83.1,96.3,28.84,SAFE
28.14,80.83,122.2,97.8,34.27,WARNING
34.75,61.42,112.8,95.4,41.94,WARNING
39.61,47.29,130.2,96.7,46.84,DANGER
23.65,68.93,68.2,97.0,26.27,SAFE
31.4,44.29,81.5,96.5,34.1,SAFE
47.67,68.54,148.3,92.6,68.38,CRITICAL
39.87,64.69,155.2,94.0,51.43,DANGER
29.02,77.18,91.0,96.1,35.2,WARNING
22.23,58.83,91.2,97.2,23.42,SAFE
27.93,83.31,111.3,95.5,34.25,WARNING
36.22,76.28,166.4,93.3,47.3,DANGER
31.61,26.42,92.7,99.6,31.66,SAFE
35.27,34.24,146.5,93.9,37.7,DANGER
35.11,77.9,147.4,92.4,45.6,DANGER
30.6,46.61,138.5,97.9,33.33,WARNING
39.83,71.48,145.6,93.3,53.0,DANGER
22.49,38.9,95.0,98.3,21.98,SAFE
40.25,67.5,150.2,95.2,52.84,DANGER
37.61,75.63,149.8,92.9,49.74,DANGER
27.65,74.43,73.5,99.7,32.72,SAFE
33.81,68.74,129.2,95.7,41.7,WARNING
35.98,57.29,129.9,96.5,43.16,WARNING
41.45,81.81,160.2,90.8,58.87,CRITICAL
39.3,95.15,160.1,94.9,57.51,CRITICAL
38.9,56.08,133.8,95.4,47.71,DANGER
29.07,49.44,128.9,97.2,31.6,WARNING
39.56,70.45,157.6,92.7,52.24,CRITICAL
26.42,68.11,114.9,96.6,30.14,SAFE
38.32,41.34,170.6,95.5,43.47,DANGER
34.95,38.53,151.6,96.6,38.05,DANGER
35.69,61.81,164.6,92.7,43.56,CRITICAL
43.85,71.1,153.9,92.6,60.95,CRITICAL
42.12,66.47,178.4,90.4,56.14,CRITICAL
38.62,62.48,167.5,88.2,48.69,CRITICAL
40.86,77.35,164.4,91.8,56.49,CRITICAL
36.14,60.52,157.4,92.2,44.05,DANGER
30.46,76.29,128.2,94.9,37.39,WARNING
42.74,80.28,170.7,93.3,61.22,DANGER
34.79,49.67,160.2,96.3,39.87,DANGER
39.0,95.8,172.5,93.6,57.01,CRITICAL
41.8,79.36,148.0,91.3,58.95,CRITICAL
39.94,65.89,170.9,97.0,51.86,CRITICAL
25.94,31.59,87.2,97.4,25.42,SAFE
46.81,51.65,153.5,90.1,60.65,CRITICAL
36.35,45.79,174.0,94.1,41.47,CRITICAL
32.6,77.17,136.5,94.2,41.08,WARNING
18.0,14.76,100.3,98.6,15.0,SAFE
40.54,71.5,165.2,92.3,54.38,CRITICAL
43.07,81.62,158.8,90.2,62.32,CRITICAL
39.91,50.03,176.0,95.5,47.99,DANGER
25.54,32.7,106.0,97.1,25.06,SAFE
37.49,45.06,144.5,91.9,43.04,DANGER
25.4,60.36,107.4,97.6,27.84,SAFE
35.58,84.52,185.2,89.6,47.71,CRITICAL
34.35,68.94,153.7,93.7,42.65,DANGER
38.8,67.67,157.7,92.9,50.18,CRITICAL
40.15,69.56,157.0,93.6,53.16,DANGER
29.72,81.53,134.3,95.6,36.92,WARNING
34.17,68.54,156.8,95.0,42.26,DANGER
32.39,74.11,123.5,96.3,40.23,DANGER
40.64,62.76,151.7,93.1,52.38,CRITICAL
30.72,75.51,136.6,97.1,37.7,WARNING
24.69,47.26,87.8,99.1,25.53,SAFE
25.67,54.23,73.4,96.7,27.55,SAFE
26.77,46.27,65.8,96.5,28.12,SAFE
38.75,49.65,155.0,96.8,46.01,DANGER
24.04,20.57,61.9,99.9,22.06,SAFE
33.45,43.24,148.7,96.8,36.78,WARNING
27.13,56.75,88.6,99.0,29.84,SAFE
36.15,85.57,143.4,92.2,48.99,DANGER
37.21,83.85,139.2,92.8,50.7,DANGER
36.83,41.22,115.2,96.6,41.26,WARNING
26.22,48.71,140.4,95.4,27.68,DANGER
32.79,57.07,133.9,94.2,38.12,DANGER
42.25,81.92,166.4,90.6,60.61,CRITICAL
39.94,41.91,182.1,92.9,46.06,CRITICAL
28.36,61.12,117.7,97.2,32.12,SAFE
39.46,90.4,148.9,92.4,56.74,DANGER
46.57,79.14,181.7,90.8,69.57,CRITICAL
37.74,55.87,121.4,96.6,45.73,WARNING
25.14,32.35,87.0,97.1,24.54,SAFE
27.17,72.38,106.2,97.3,31.75,SAFE
30.88,56.8,122.8,96.1,35.21,WARNING
27.7,18.66,100.6,99.5,25.98,SAFE
36.81,86.03,146.4,93.7,50.38,DANGER
39.68,35.69,155.4,94.7,44.18,CRITICAL
38.14,39.61,154.5,94.5,42.83,DANGER
33.12,64.73,147.9,97.1,39.89,WARNING
33.87,49.84,114.8,96.7,38.52,WARNING
32.68,66.93,108.2,95.5,39.56,WARNING
33.93,63.04,166.4,93.9,40.9,DANGER
31.52,49.62,82.9,99.2,35.07,SAFE
38.3,55.44,150.1,92.0,46.56,CRITICAL
41.38,65.85,180.1,91.9,54.55,CRITICAL
24.57,62.89,61.8,97.9,26.95,SAFE
37.72,36.95,145.0,93.4,41.65,DANGER
25.04,38.75,66.5,97.8,25.09,SAFE
41.3,66.42,156.4,92.7,54.54,DANGER
43.82,64.85,158.6,89.7,59.03,CRITICAL
37.47,61.22,135.0,99.0,46.42,WARNING
39.63,62.82,160.2,96.0,50.56,DANGER
27.5,38.82,115.9,94.2,28.18,WARNING
23.17,60.11,78.0,98.3,24.78,SAFE
42.48,88.13,166.4,88.1,62.84,CRITICAL
36.69,45.81,164.9,93.4,41.98,DANGER
25.25,66.93,71.7,95.8,28.33,SAFE
33.17,63.28,123.9,97.0,39.74,WARNING
26.89,39.55,87.0,100.0,27.5,SAFE
44.72,71.3,170.3,88.5,62.86,CRITICAL
41.02,67.29,150.2,94.8,54.24,DANGER
22.11,38.43,100.9,95.9,21.48,SAFE
29.41,46.89,95.6,100.0,31.74,SAFE
24.08,52.22,121.7,96.4,25.23,SAFE
36.34,82.01,165.9,90.5,48.67,CRITICAL
28.46,26.41,97.3,96.2,27.83,SAFE
24.25,48.25,77.9,99.4,25.06,SAFE
25.67,71.79,104.1,98.8,29.45,SAFE
20.5,61.72,86.7,98.4,21.4,SAFE
25.25,63.1,96.6,96.5,27.93,SAFE
19.5,71.94,97.6,98.6,20.87,SAFE
36.41,57.52,161.7,93.9,43.9,DANGER
32.81,35.78,127.3,96.8,34.67,WARNING
33.81,57.94,153.9,95.4,39.84,WARNING
26.56,50.39,87.6,96.8,28.32,SAFE
44.95,69.8,163.1,92.3,62.87,CRITICAL
39.92,71.86,179.1,94.9,53.26,CRITICAL
41.21,53.3,171.5,92.0,50.99,CRITICAL
39.44,67.43,149.5,93.8,51.31,DANGER
31.26,55.59,124.2,96.9,35.6,WARNING
40.47,92.56,163.5,92.6,59.48,CRITICAL
34.94,46.52,138.8,95.7,39.51,DANGER
35.31,60.8,146.5,93.6,42.75,DANGER
25.9,40.42,65.4,98.4,26.35,SAFE
30.49,40.2,123.6,97.1,32.26,DANGER
28.1,57.05,127.0,96.0,31.24,WARNING
33.52,98.0,134.9,94.4,46.21,DANGER
26.34,59.45,90.6,97.5,29.05,SAFE
36.71,72.74,150.7,95.5,47.48,DANGER
45.02,64.71,161.3,92.7,61.41,CRITICAL
33.07,62.42,142.5,95.0,39.43,DANGER
34.36,81.9,120.2,95.8,44.98,WARNING
31.41,52.72,128.3,98.3,35.38,WARNING
26.57,33.62,126.9,95.3,26.41,WARNING
